filename,chroma_stft,spectral_centroid,spectral_bandwidth,rolloff,zero_crossing_rate,ADI,ACItf,BI,TE,ESM,NDSI,P,M,MIDBNT,MD,FM,SF,cluster,label
13654-SM5071__0__20170127_011000.wav,0.6252074241638184,2097.7768964276847,2816.2086879633052,6181.120956940547,0.0,1.3811652663465235,45332.62942582544,0.999831607569641,0.971294387967717,0.9282459523744813,26.87299206363817,788.0237833676722,0.02654176424668228,-100.3515102931758,-9.483747905917099,40.15283765827652,0.08617202125125695,Cluster2,Baja
13654-SM5071__0__20170123_013000.wav,0.6653304696083069,1640.2825035708265,2500.5509110960297,5370.367526122291,0.0,1.7341643880346158,45689.47623064392,0.9998867317177097,0.9679849258411134,0.8868271949393136,16.672090030175923,792.034866204358,0.04059328649492584,-100.3515102931758,-9.855097722391964,40.005237600056596,0.0896951642729786,Cluster2,Baja
13654-SM5071__0__20170204_012000.wav,0.5516490936279297,2303.1081331255405,2837.795997440373,6227.295677728328,0.0,2.164821051767023,45445.96386720225,0.9997453558369241,0.9708489052787853,0.9583696314469063,47.04185188630465,792.6235819103938,0.0195160031225605,-100.3515102931758,-9.776968397157981,40.15447370820602,0.06497063921684176,Cluster2,Baja
SM3-5071__0__20170510_004000.wav,0.771870493888855,1180.3738360138643,2501.6778328655323,4184.4580304881,0.0,1.2277846090500957,45037.06165398526,0.9999672011880791,0.9903886729979102,0.9099566992901215,21.211535830345085,798.169695254157,0.0,-100.3515102931758,-9.515342312762911,40.05540696173751,0.23591061139732977,Cluster2,Baja
13654-SM5071__0__20170215_072000.wav,0.9065460562705994,870.9382453523459,2193.015497642477,1723.4312453137093,0.0,0.8958149990337907,44810.79921858807,0.999989318234559,0.9913034732073955,0.49203126141070247,2.93725016534342,791.0017357036909,0.12724434035909446,-100.3515102931758,-8.970978601450906,40.07363598360726,0.649992618025176,Cluster2,Baja
13654-SM5071__0__20170202_232000.wav,0.5321148633956909,2207.8468938444025,2762.4174799523003,6133.229579866486,0.0,1.3599384347439056,45560.66522223856,0.9997760476607359,0.9787287939364034,0.9598149907115571,48.76980310354669,788.5580484845077,0.02029664324746292,-100.3515102931758,-9.467881437766582,40.085408971791104,0.07598354949760656,Cluster2,Baja
SM3-5071__0__20170520_010000.wav,0.9060896039009094,340.941019869948,1493.2104750723122,18.14989025009675,0.0,1.823201248837041,44570.52857366044,0.9999979894779872,0.9920501046086607,0.5491388000742274,3.4359550130489596,797.0013491539137,0.00702576112412178,-100.3515102931758,-7.01268544327861,40.13315185829844,0.8562361163591948,Cluster2,Baja
13654-SM5071__0__20170125_195000.wav,0.5732108950614929,2081.988391572569,2713.7119422685173,5703.865509505611,0.0,1.4258338484016555,45872.05989324892,0.999776802580023,0.9697805272422995,0.9408162285170835,32.793047483925676,791.004395209812,0.02654176424668228,-100.3515102931758,-10.08447682785328,40.04962946382897,0.08199851723240718,Cluster2,Baja
SM3-5071__0__20170612_202000.wav,0.8980807662010193,1461.4223740592695,2391.894459332473,4376.240204140867,0.0,0.42182546882127325,44911.53115761427,0.9999460879827295,0.9897380642455784,0.8701341850074676,14.400511675185681,794.3265303175169,0.11787665886026542,-100.3515102931758,-9.457529887029752,40.01821266158314,0.23017445267294348,Cluster2,Baja
SM3-5071__0__20170611_000000.wav,0.7824708223342896,1116.9399476914123,2396.1189703132327,3750.3356555667087,0.0,1.044171511967979,44760.95656219287,0.999970448995354,0.9932001947154824,0.9092933155159176,21.049091655984498,791.3170382033472,0.0429352068696331,-100.3515102931758,-8.342132472109604,40.13035381603967,0.2514212683325218,Cluster2,Baja
13654-SM5071__0__20170216_131000.wav,0.9067585468292236,981.7925460518393,2343.177563802847,2038.3793408656636,0.0,2.2747874689911574,44992.476820783275,0.999972704977718,0.8926543533606132,-0.198893575248235,0.6682047858884331,780.5435865625063,0.12724434035909446,-100.3515102931758,-9.197476358262664,40.11174185944144,0.3310785805867196,Cluster2,Baja
SM3-5071__0__20170601_081000.wav,0.906737208366394,663.2794836887314,2004.9394132318487,18.133223684210527,0.0,0.013757147556360802,44618.794731629285,0.9999940816959653,0.9930474992663723,0.5924886319677494,3.907838546093563,793.0760396149785,0.12724434035909446,-100.3515102931758,-7.7745937955408975,40.11595933207024,0.845729356250584,Cluster2,Baja
13654-SM5071__0__20170126_220000.wav,0.6213629245758057,2140.5353395499865,2772.2002966334876,6181.387621994727,0.0,1.8616873395984597,45815.465486407724,0.9997896511026881,0.9465636362434635,0.9344296497737203,29.50159093398332,790.3608625948491,0.02576112412177986,-100.3515102931758,-9.444301076459135,40.06594764712885,0.07921822182321109,Cluster2,Baja
13654-SM5071__0__20170222_055000.wav,0.873036801815033,983.7247822698013,2266.80934873484,2573.576104604054,0.0,0.7614673830208072,44958.559161488476,0.9999844636379819,0.9835887446745984,0.5935680709954462,3.920873231831132,790.7099577610047,0.12724434035909446,-100.3515102931758,-9.309514650583397,40.06182904990569,0.48926724649804104,Cluster2,Baja
