filename,chroma_cqt,chroma_cens,spec_contrast,spectral_flatness,tonnetz,cluster,label
SM302143__0__20170531_100000.wav,0.7131392955780029,0.28502233629036156,19.385884152508282,0.00017235356790479273,0.0037943614329324082,Cluster1,alta
13654-302298__0__20170204_112000.wav,0.7393562197685242,0.2863506952119176,18.145270894090533,0.00521767046302557,0.0014405510327967354,Cluster5,baja
13654-302298__0__20170204_141000.wav,0.729454517364502,0.2858691661818491,18.051252535989843,0.001721724634990096,0.0001529198843604418,Cluster5,baja
13654-302298__0__20170202_015000.wav,0.6345714330673218,0.2796029107052932,20.390806217280307,0.01170738972723484,-0.0016054792482842702,Cluster5,baja
13654-302298__0__20170203_033000.wav,0.6432486772537231,0.2806580429268668,20.50692548204083,0.011685010977089405,0.0015914380293529505,Cluster5,baja
13654-302298__0__20170205_171000.wav,0.5485121607780457,0.2670499247619908,19.703410190592937,0.0024251171853393316,-0.007441693462800957,Cluster5,baja
13654-302298__0__20170202_185000.wav,0.6931625008583069,0.28411225029803844,19.771146992700253,0.009169374592602253,-0.0025685414962537535,Cluster5,baja
13654-302298__0__20170204_003000.wav,0.5688959956169128,0.2727503749915821,20.617746115035022,0.01316493097692728,0.0043438492248045425,Cluster5,baja
13654-302298__0__20170202_145000.wav,0.7390368580818176,0.2865030904289913,17.86468511538378,0.004992189817130566,-0.0005504481732067628,Cluster5,baja
13654-302298__0__20170206_023000.wav,0.5235322117805481,0.2651279442970384,21.202224018661315,0.012727315537631512,0.01419916788017928,Cluster5,baja
13654-302298__0__20170205_130000.wav,0.4222187101840973,0.24095318008972624,17.666053770181588,0.0023347423411905766,0.020795362413336838,Cluster5,baja
13654-302298__0__20170206_082000.wav,0.5729881525039673,0.2710030968692964,19.268745677566965,0.004932599142193794,-0.008535335702436492,Cluster5,baja
13654-302298__0__20170203_141000.wav,0.7412993311882019,0.2862438673022892,17.995308201287305,0.002091393806040287,0.002357133199505738,Cluster5,baja
13654-302298__0__20170203_215000.wav,0.5114641785621643,0.2622032535872805,21.163032314320187,0.011434793472290039,0.0010371695743034396,Cluster5,baja
13654-302298__0__20170204_170000.wav,0.549705445766449,0.26922761355636915,19.75547529187153,0.0025647012516856194,-0.013100183929014896,Cluster5,baja
13654-SM5071__0__20170127_011000.wav,0.7290340065956116,0.28490573362381394,21.128844974908773,0.00020213660900481045,0.0009154506024883309,Cluster2,baja
13654-SM5071__0__20170123_013000.wav,0.7298418879508972,0.2866165325201935,20.411857355416945,0.0001246268948307261,0.003309554031347207,Cluster2,baja
13654-SM5071__0__20170204_012000.wav,0.6994644999504089,0.28356271398698396,21.44873336653624,0.0002504131698515266,0.002875903474954407,Cluster2,baja
SM3-5071__0__20170510_004000.wav,0.7685243487358093,0.2876005680589919,20.12328911366979,6.053849938325584e-05,0.0009124289528908819,Cluster2,baja
13654-SM5071__0__20170215_072000.wav,0.7683823704719543,0.2875497309923243,18.737618522356886,5.198861617827788e-05,0.000727952972359859,Cluster2,baja
13654-SM5071__0__20170202_232000.wav,0.6520779132843018,0.28044207113258146,21.25140264101868,0.00023326280643232167,0.0022080627089766545,Cluster2,baja
SM3-5071__0__20170520_010000.wav,0.7430852055549622,0.28586082150044384,19.030656075005265,5.66595554118976e-06,0.0004594187330224247,Cluster2,baja
13654-SM5071__0__20170125_195000.wav,0.6997871398925781,0.28445666478793546,21.403837921201966,0.00023603069712407887,0.0023285145808285015,Cluster2,baja
SM3-5071__0__20170612_202000.wav,0.731315553188324,0.2865644144549501,19.30392971484022,0.00017209193902090192,-0.0008300184208890452,Cluster2,baja
SM3-5071__0__20170611_000000.wav,0.7613558173179626,0.28746093590333816,20.410642354344844,5.3825784561922774e-05,0.002195489504360488,Cluster2,baja
13654-SM5071__0__20170216_131000.wav,0.7576991319656372,0.2871439790496752,18.480291214706334,7.594381168019027e-05,0.0012355882068232394,Cluster2,baja
SM3-5071__0__20170601_081000.wav,0.7642896175384521,0.2872232082720358,18.850193525488773,2.4701621441636235e-05,-0.0001931012190923233,Cluster2,baja
13654-SM5071__0__20170126_220000.wav,0.7114916443824768,0.28501541280152526,21.316353242987656,0.00022990308934822679,0.00012000914688790247,Cluster2,baja
13654-SM5071__0__20170222_055000.wav,0.7458977103233337,0.2869507173661675,19.204934169337612,6.647226837230846e-05,0.003542654319587391,Cluster2,baja
13654-SM5071__0__20170203_202000.wav,0.6883727312088013,0.2834577813188307,21.106452836125488,0.0002533813240006566,-0.00012111336282968724,Cluster2,baja
SM3-5071__0__20170601_054000.wav,0.7659013271331787,0.28753650622711074,18.958007049503102,3.176280370098539e-05,0.0010075714104434191,Cluster2,baja
SM302151__0__20170602_102000.wav,0.7468268275260925,0.2871982368707401,16.931587508405464,0.01814946159720421,0.000841488569627347,Cluster0,baja
13654-302298__0__20170124_173000.wav,0.7384050488471985,0.28639841382511594,18.802909311360402,0.006209242157638073,0.0030019980907280423,Cluster0,baja
13654-302151__0__20170215_034000.wav,0.6515796184539795,0.2841954273293823,20.09067552626022,0.0018376519437879324,0.002347157152605124,Cluster0,baja
13654-302298__0__20170126_134000.wav,0.7374103665351868,0.28618324969074904,17.632786261783394,0.005744168069213629,0.0025080264157432857,Cluster0,baja
13654-302298__0__20170204_175000.wav,0.49560123682022095,0.25678393755667267,20.275864040237938,0.002324876142665744,-0.016295420112850283,Cluster0,baja
13654-302151__0__20170203_185000.wav,0.6434817314147949,0.2780559596604752,20.774322791580673,0.0030261387582868338,0.006358137895945511,Cluster0,baja
13654-302298__0__20170205_053000.wav,0.7323377132415771,0.2859089361113246,19.778979028091022,0.009424300864338875,0.0033237733188743,Cluster0,baja
SM302151__0__20170523_004000.wav,0.74699866771698,0.2870878711237189,17.928726920930835,0.022850872948765755,-0.0007097345497907955,Cluster0,baja
13654-302151__0__20170202_191000.wav,0.6828328371047974,0.28225085329348076,20.715218391402285,0.0035344217903912067,0.004923388260242284,Cluster0,baja
13654-302298__0__20170203_022000.wav,0.6175205111503601,0.27867582961492937,20.706913693075208,0.013357230462133884,0.0020417539283904746,Cluster0,baja
13654-302298__0__20170123_013000.wav,0.6823973655700684,0.2812001250591228,19.13157250666599,0.015023322775959969,0.005210772223274001,Cluster0,baja
13654-302151__0__20170202_103000.wav,0.6958451271057129,0.28327493306214135,18.30707498838178,0.0022718196269124746,0.004704343570173108,Cluster0,baja
SM302151__0__20170530_084000.wav,0.7500205636024475,0.28729587703746784,16.872081333078203,0.018505239859223366,0.00035866075174028744,Cluster0,baja
SM302151__0__20170613_145000.wav,0.7352801561355591,0.28623444106479073,16.68677458614587,0.05925657972693443,0.00188060632669135,Cluster0,baja
13654-302151__0__20170216_003000.wav,0.6835672855377197,0.2839121149446517,20.864359883195007,0.0029056407511234283,0.004715127620047755,Cluster0,baja
13654-302298__0__20170127_181000.wav,0.7000129222869873,0.28459009427133725,19.10706408685025,0.006679366808384657,0.003525876024592077,Cluster0,baja
GUAM5070__0__20160214_021000.wav,0.6601475477218628,0.2818175941061458,20.3837196331456,0.0019775188993662596,-0.0010816877346214262,Cluster3,media
GUAM5070__0__20160217_032000.wav,0.522192120552063,0.26193718805324967,21.670189021974736,0.0015260413056239486,0.006580898907460912,Cluster3,media
