,Grabadora,Lugar,DiaGrabadora,Transformación,Permanencia,Longitud,ACIft,ADI,ACItf,BI,TE,ESM,NDSI,P,M,NP,MID,BNF,BNT,MD,FM,SF,RMS,CF,ADIm1,ADIm2,ADIm3,ADIm4,ADIm5,ADIm6,ADIm7,ADIm8,ADIm9,ADIm10,ADIm11
20170216,302298,Bolívar,20170216302298,Baja,Baja,75º11'5.7''W,"3,14589845587726","-1,36472848002334","0,880513855940674","1,03891377354912","-0,783016380697904","0,187919978871435","0,390231654001671","0,714190510614073","-0,934343833762463","0,30535329780957","-0,402053912100037","-0,441346806637819","-0,998146430287809","-0,95597490467341","-0,475075952032218","-0,885951936945074","-0,711425353149155","-0,198870532134445","-1,00910129947476","-1,40892590540644","-1,18965623959852","-1,2887775955193","-0,844817361324972","-0,527876188977056","-0,371640778045792","0,015925781718254","-0,165041374749028","-0,339435970698728","-0,446035021178623"
20170222,302298,Bolívar,20170222302298,Baja,Baja,75º11'5.7''W,"1,06491469467593","-1,2121344323587","1,06636266526707","0,454368729680611","-0,545508812072129","0,154405848806168","0,365082166093324","0,341727091688724","-0,991416842484808","-0,128836557994841","-0,444066747932638","-0,484932916465038","-0,998146430287809","-0,592338085648806","-1,2184231729691","-0,765738152912499","-0,763141773788485","-0,179171516291307","-1,7280208114194","-1,2675332037884","-1,31216655311372","-1,3638993061747","-0,637526635762043","-1,02780176662193","-0,054326015558969","-0,15847347262037","-0,624076615319876","-0,587237452309365","-0,296155219133165"
20170223,302298,Bolívar,20170223302298,Baja,Baja,75º11'5.7''W,"1,424976689477","-0,799475023926437","0,843248168329024","0,562991242162482","-0,801856461239157","0,160173441898114","0,33999531939022","0,34283956113404","-0,995412100289401","-0,027595929870587","-0,428045610759125","-0,499782457789526","-0,998146430287809","-0,803595135890977","-1,05607097273793","-0,777759068081635","-0,634441702570396","-0,075123674818085","-1,88644715408553","-1,22838644326192","-1,37994298427792","-1,61296975981805","-1,0062976948364","-1,10980970009394","-0,650642854344576","-0,510263141361992","-0,708217417857553","-0,663199387605044","-0,438472235328787"
20170224,302298,Bolívar,20170224302298,Baja,Baja,75º11'5.7''W,"1,74677126793483","-1,32524726276858","0,83485561428337","0,359789930323049","-0,387678794012376","0,390069489108748","0,455897449652609","-0,105432850915238","-1,01463286089591","-0,215923003977741","-0,570711884485349","-0,505691025505196","-0,998146430287809","-0,73330493830373","-0,994328933731214","-0,640583743009292","-0,821300410858973","-0,310342291860333","-1,98124459231603","-1,15618699264884","-1,28793840804097","-1,16645439676304","-0,655523532046547","-1,00775693782821","-0,373377080160952","-0,092318666344878","-0,440427241014834","-0,437639846574459","-0,251829256586393"
20170226,302298,Bolívar,20170226302298,Baja,Baja,75º11'5.7''W,"3,29310147827268","-0,396339694123327","1,36209688149373","1,16792600730341","-0,019594633532291","0,005123480844088","0,881127167019891","0,988176756742162","-0,993167921349791","-0,30216702028299","-0,432918030855037","-0,460408265836572","-0,998146430287809","-1,04161052292421","-0,996890569803085","-0,520067521728701","-0,922971465656603","-0,482750299926934","-1,10187603038267","-0,932714037491406","-0,973339355935279","-1,20575353514434","-0,91525772377627","-0,669797590016805","-1,0509486011332","-1,00336495732995","-0,567307031557776","-0,506287440096745","-0,377202143930228"
20170303,302298,Bolívar,20170303302298,Baja,Baja,75º11'5.7''W,"1,57549340307272","-0,902484690457884","0,612955436360411","1,71266805204511","-0,308734927376304","-0,342660959884798","0,873582497199714","3,5307599997293","-0,96684551951664","-0,079374424465733","-0,738543948404388","-0,456530484367069","-0,998146430287809","-1,39689525692106","-0,676879342110104","-0,833460528199609","-0,865035971562467","-0,438131720194986","-1,12161543143115","-1,22279963807275","-1,6177927802599","-1,41332885342878","-1,48573422742065","-1,5994732511417","-1,24394479775185","-1,12646216582089","-1,65233464528162","-1,41460322387832","-1,03612877978979"
20160214,5067,Bolívar,201602145067,Media,Alta,"75º09'33.7""W","-0,280338373623732","-0,153801006494823","-0,64255106800876","0,041067731296707","0,273331595723942","0,574240659238465","-0,249039873233807","0,268656790542669","-1,231346412604","-0,780840901795467","-0,25118434582838","-0,504484976676304","-0,998146430287809","-0,679432214544409","0,618855011094272","0,228920250273516","-1,17206802909694","-0,516176392442271","-0,415498973960625","-0,528098324688737","-0,319651611158185","0,629820739321229","-0,400841935526057","-0,295586328463719","-0,298862914398222","0,279929195376186","0,281425610774886","0,26662975802325","0,546506038422319"
20160215,5067,Bolívar,201602155067,Media,Alta,"75º09'33.7""W","-0,316401977274793","-0,417427398132207","-0,481639457913832","0,104440700003378","0,164504656780384","0,506611964629352","0,118164141140487","0,403171759655049","-1,22114847655964","-0,589284277997841","-0,469483412154528","-0,51738151978401","-0,998146430287809","-0,659748545140833","0,467903488125044","0,245567936600382","-1,14193247184531","-0,380141492855288","-0,42668952664301","-0,46111721566758","-0,57926516065884","0,270686893164602","-0,704676330272596","-0,798898594554293","-0,428320731741819","-0,182561074723012","-0,119375762772185","-0,010168512541217","0,310122033957711"
20160216,5067,Bolívar,201602165067,Media,Alta,"75º09'33.7""W","-0,333508405877726","-0,496036068763408","-0,704868906933105","-0,212562878759408","-0,086565615176127","0,471575887841456","0,074472625437157","-0,23210413360658","-1,20856502650288","-0,568604869746961","-0,298149715593461","-0,50401733442228","-0,998146430287809","-0,785826988488863","0,847904027226281","0,172389151376705","-1,05457417843299","-0,300369023462893","-0,319405591426751","-0,424419719249827","-0,229383956349881","0,428865096723105","-0,490078705575077","-0,861169163705595","-0,835883856770854","-0,52241384057728","0,14662462919616","0,028499055763298","0,429784624789846"
20160217,5067,Bolívar,201602175067,Media,Alta,"75º09'33.7""W","-0,193306472328578","-1,35223716824354","-0,877832338216551","-0,357472801997581","-0,223339532193838","0,300228013972257","-0,239023228357649","-0,268397521230594","-1,19678782190438","-0,587692119046796","-0,641186584693882","-0,501555847370231","-0,998146430287809","-0,832161454297118","1,10331646206344","-0,1483932863085","-1,04219808684607","-0,380483292342161","-0,478328843397987","-0,293517850365531","0,077898712818739","0,589451356156085","-0,249145236123855","-0,273429518781491","-0,084926801273551","-0,343677819975266","0,118776450905386","0,012452516467178","0,271643513273532"
